time/fps,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,eval/std_reward,eval/mean_reward,time/iterations,train/critic_loss,eval/mean_ep_length,rollout/ep_len_mean,train/n_updates,training/completed
91.12622239661107,400,0.0001,0.0,-0.0010695551754906774,0.7403050781878322,-2.272094665901713,4,1.75186123669846e-05,4,500.0,300,
91.3278573977715,800,0.0001,-2.3926478563062306,-0.0026475372724235058,1.855536137749264,-2.548468365849395,8,7.60935217840597e-05,4,500.0,700,
108.32265207524598,1200,0.0001,-1.181034142018766,-0.010454139672219753,1.3276652426755653,-0.758290492949188,12,5.1690269174287096e-05,4,500.0,1100,
90.88695686844535,1600,0.0001,-0.37992583184224843,-0.009015655145049095,2.2577471601802492,-0.6128777912777433,16,9.022599260788411e-05,4,500.0,1500,
13.267009000700027,2000,0.0001,-0.2996730462251195,-0.006219062954187393,3.951906163227867,-0.6260973210288046,20,6.821120041422546e-05,4,500.0,1900,
98.75138233674417,2400,0.0001,-0.13253330897573617,-0.016310416162014008,5.773942655205963,2.4408030935765996,24,6.310884054983035e-05,4,500.0,2300,
109.90132917516829,2800,0.0001,1.1829365645308767,-0.015422911383211613,5.2085837673847015,8.397236170225492,28,0.00014235837443266064,4,500.0,2700,
109.32947623403153,3200,0.0001,0.8664901126977114,-0.021794183179736137,5.640681221860935,6.2024185113596015,32,0.00021256148465909064,4,500.0,3100,
105.26637565325551,3600,0.0001,3.305406169660892,-0.02312370389699936,7.02122387821684,8.81642903719712,36,0.00020728338859044015,4,500.0,3500,
13.175572575195764,4000,0.0001,4.4605526284638986,-0.021398227661848068,6.628024799836918,4.061048438699318,40,0.00014035662752576172,4,500.0,3900,
74.2041850674636,4400,0.0001,5.615699087266905,-0.024790054187178612,2.934384495522491,3.3312778583931415,44,0.0001363922783639282,4,500.0,4300,
85.41372149162196,4800,0.0001,5.720653987662449,-0.028451599180698395,4.007341417857137,5.572678589800518,48,0.0001559391530463472,4,500.0,4700,
102.8413188136689,5200,0.0001,3.9361940644638076,-0.015244293957948685,2.1771959883173593,5.861186799310362,52,0.00020214379765093327,4,500.0,5100,
89.78049254537717,5600,0.0001,6.493969937472197,-0.017202535644173622,4.133651531129325,3.6919624080022553,56,0.00020017466158606112,4,500.0,5500,
13.062731197321519,6000,0.0001,4.877585552646494,-0.019532090052962303,0.4447889769708226,1.5345861065639852,60,9.741104440763593e-05,4,500.0,5900,
103.8130589540689,6400,0.0001,3.261201167820791,-0.01633201539516449,7.871764562691912,10.440875125506206,64,0.0005273908609524369,4,500.0,6300,
115.35635489337874,6800,0.0001,1.9928459261429876,-0.017293166369199753,4.440820146517189,2.1373790641763555,68,0.00014863203978165984,4,500.0,6700,
107.70142931572437,7200,0.0001,3.835386521189309,-0.01633594185113907,5.583330863762765,5.1423453828976085,72,0.0001386294316034764,4,500.0,7100,
92.88189596431504,7600,0.0001,3.9577097214048633,-0.017944464460015297,5.606535427751359,8.419186919808698,76,0.0002138737909263,4,500.0,7500,
13.553434111786077,8000,0.0001,3.7611241817357453,-0.015067491680383682,9.889905553098849,10.669288318127315,80,7.35777139198035e-05,4,500.0,7900,
82.70046952874205,8400,0.0001,3.5645386420666276,-0.01836751401424408,3.1769276216662905,3.6225746936958707,84,0.0003497330762911588,4,500.0,8300,
76.35440512414884,8800,0.0001,4.6725974424804715,-0.01641518995165825,4.708229700974494,5.003021505897971,88,0.00011442582763265818,4,500.0,8700,
106.39271387025545,9200,0.0001,5.609822108020476,-0.016640599817037582,9.504053938302828,13.14575932161036,92,0.00010384217603132129,4,500.0,9100,
109.12600929038892,9600,0.0001,3.6304835188597635,-0.015265101566910744,3.771298867714346,9.246266524766186,96,0.00010212873166892678,4,500.0,9500,
13.305636520861862,10000,0.0001,3.8602528948368118,-0.013188586570322514,9.435206370664893,7.038450399823604,100,9.161944035440683e-05,4,500.0,9900,
106.6199206687335,10400,0.0001,4.090022270813859,-0.012420103885233402,7.099730645053518,5.646069181355948,104,0.00011805116082541645,4,500.0,10300,
89.82361881567769,10800,0.0001,3.013500921065803,-0.01704554259777069,7.749748216820092,7.235729577046894,108,9.543038322590292e-05,4,500.0,10700,
86.36659778156476,11200,0.0001,2.866480581344446,-0.020416727289557457,5.660976416689209,8.355336557099168,112,0.00013082408986520022,4,500.0,11100,
82.48064283829262,11600,0.0001,2.0664329711744354,-0.014173396863043308,8.16857073473023,6.877079639182263,116,0.000153816508827731,4,500.0,11500,
12.84626938634597,12000,0.0001,3.2705760556659436,-0.018093720078468323,2.7280986567945598,10.631095006147103,120,0.00019433340639807284,4,500.0,11900,
64.42247760659427,12400,0.0001,4.474719140157451,-0.021617406979203224,5.659097431570586,8.160649546351179,124,0.00013318806304596364,4,500.0,12300,
86.75201972358848,12800,0.0001,6.024202843000781,-0.016495540738105774,2.1823832118052224,9.070955277622819,128,0.00010425211803521961,4,500.0,12700,
72.26471433988797,13200,0.0001,5.2056320923008546,-0.016386164352297783,6.746798345079536,10.87669084759744,132,0.00018737315258476883,4,500.0,13100,
88.71452786521445,13600,0.0001,7.001389516789713,-0.013319212011992931,11.245899817922876,12.086677693276922,136,0.00022172667377162725,4,500.0,13500,
11.795877709856558,14000,0.0001,6.21955666101467,-0.012512254528701305,4.469491723916095,4.221734542016344,140,0.00017109132022596896,4,500.0,13900,
76.09266885579,14400,0.0001,5.437723805239628,-0.010654853656888008,4.970561064404969,8.152680187892562,144,0.00018227817781735212,4,500.0,14300,
